,"('Player',)","('Pass Yds',)","('Yds/Att',)","('Att',)","('Cmp',)","('Cmp %',)","('TD',)","('INT',)","('Rate',)","('1st',)","('1st%',)","('20+',)","('40+',)","('Lng',)","('Sck',)","('SckY',)"
-1,                              Jordan Love,                      411,                      6.6,                      62,                      36,                      0.581,                      2,                      3,                      68.7,                      22,                      0.355,                      6,                      1,                      62,                      3,                      23
-2,                              P.J. Walker,                      362,                      5.5,                      66,                      36,                      0.545,                      1,                      3,                      56.5,                      19,                      0.288,                      1,                      0,                      24,                      7,                      47
-3,                              Joe Flacco,                      338,                      8,                      42,                      27,                      0.643,                      3,                      0,                      113,                      14,                      0.333,                      6,                      1,                      62,                      2,                      13
-4,                              Mason Rudolph,                      277,                      4.8,                      58,                      35,                      0.603,                      1,                      1,                      70.8,                      16,                      0.276,                      2,                      0,                      36,                      0,                      0
-5,                              Nick Foles,                      250,                      7.1,                      35,                      24,                      0.686,                      1,                      0,                      98.5,                      14,                      0.4,                      1,                      0,                      30,                      4,                      21
-6,                              Brian Hoyer,                      227,                      20.6,                      11,                      9,                      0.818,                      1,                      0,                      149.1,                      8,                      0.727,                      6,                      2,                      48,                      0,                      0
-7,                              Jake Fromm,                      210,                      3.5,                      60,                      27,                      0.45,                      1,                      3,                      38.9,                      10,                      0.167,                      2,                      0,                      36,                      6,                      33
-8,                              Garrett Gilbert,                      194,                      6.3,                      31,                      20,                      0.645,                      0,                      0,                      81.9,                      8,                      0.258,                      2,                      1,                      46,                      2,                      20
-9,                              Sean Mannion,                      189,                      5.3,                      36,                      22,                      0.611,                      1,                      0,                      84.1,                      8,                      0.222,                      2,                      0,                      30,                      2,                      15
-10,                              Brandon Allen,                      149,                      4.4,                      34,                      17,                      0.5,                      2,                      0,                      81.6,                      5,                      0.147,                      2,                      0,                      26,                      4,                      33
-11,                              Nick Mullens,                      147,                      4.9,                      30,                      20,                      0.667,                      1,                      0,                      89.2,                      9,                      0.3,                      1,                      0,                      25,                      0,                      0
-12,                              Ian Book,                      135,                      6.8,                      20,                      12,                      0.6,                      0,                      2,                      40.6,                      5,                      0.25,                      1,                      1,                      56,                      8,                      54
-13,                              Kyle Allen,                      120,                      6.3,                      19,                      12,                      0.632,                      0,                      0,                      81,                      6,                      0.316,                      0,                      0,                      19,                      2,                      5
-14,                              Ced Wilson,                      88,                      29.3,                      3,                      3,                      1,                      0,                      0,                      118.8,                      3,                      1,                      3,                      0,                      35,                      0,                      0
-15,                              Chad Henne,                      82,                      5.1,                      16,                      11,                      0.688,                      0,                      0,                      80.7,                      6,                      0.375,                      0,                      0,                      17,                      0,                      0
-16,                              Tom Kennedy,                      75,                      75,                      1,                      1,                      1,                      1,                      0,                      158.3,                      1,                      1,                      1,                      1,                      75,                      0,                      0
-17,                              Blaine Gabbert,                      67,                      8.4,                      8,                      7,                      0.875,                      0,                      0,                      101.6,                      4,                      0.5,                      1,                      0,                      23,                      1,                      10
-18,                              Jacob Eason,                      50,                      5,                      10,                      4,                      0.4,                      0,                      2,                      16.7,                      4,                      0.4,                      0,                      0,                      30,                      0,                      0
-19,                              Tyler Boyd,                      46,                      46,                      1,                      1,                      1,                      0,                      0,                      118.8,                      1,                      1,                      1,                      1,                      46,                      0,                      0
-20,                              Jakobi Meyers,                      45,                      22.5,                      2,                      2,                      1,                      0,                      0,                      118.8,                      1,                      0.5,                      1,                      0,                      30,                      0,                      0
-21,                              Mitchell Trubisky,                      43,                      5.4,                      8,                      6,                      0.75,                      0,                      1,                      47.4,                      2,                      0.25,                      0,                      0,                      15,                      0,                      0
-22,                              Jack Fox,                      38,                      19,                      2,                      2,                      1,                      0,                      0,                      118.8,                      2,                      1,                      1,                      0,                      21,                      0,                      0
-23,                              Chris Streveler,                      36,                      4,                      9,                      6,                      0.667,                      0,                      0,                      74.3,                      1,                      0.111,                      0,                      0,                      17,                      2,                      17
-24,                              Justin Jefferson,                      35,                      11.7,                      3,                      2,                      0.667,                      0,                      0,                      106.2,                      2,                      0.667,                      1,                      0,                      24,                      0,                      0
-25,                              Christian Kirk,                      33,                      33,                      1,                      1,                      1,                      0,                      0,                      118.8,                      1,                      1,                      1,                      0,                      33,                      0,                      0
